"date" "close"
"24-Apr-07" 0
"25-Apr-07" -0.94923367641032
"26-Apr-07" -1.13898802776025
"27-Apr-07" -1.06910694489759
"30-Apr-07" -1.49632634434809
"1-May-07" -2.45339323355465
"2-May-07" -2.05605047864009
"3-May-07" -1.42527535114003
"4-May-07" -0.257445054107287
"7-May-07" -0.233352960140057
"8-May-07" -1.10008920897414
"9-May-07" 0.265341228169816
"10-May-07" 4.00763478907802
"11-May-07" 5.65610006583429
"14-May-07" 6.26069411999558
"15-May-07" 7.74971865291001
"16-May-07" 9.62039622189886
"17-May-07" 10.633641826183
"18-May-07" 10.3576914228748
"21-May-07" 8.87398183631517
"22-May-07" 6.35218681253788
"23-May-07" 3.53642630294116
"24-May-07" 2.90189886118153
"25-May-07" 2.44294317587157
"29-May-07" 2.92107196976159
"30-May-07" 3.77249098318812
"31-May-07" 3.68611611651659
"1-Jun-07" 5.2016823691859
"4-Jun-07" 7.42646745725001
"5-Jun-07" 9.41454624163859
"6-Jun-07" 10.7745185177777
"7-Jun-07" 9.55350920310795
"8-Jun-07" 7.38666449918706
"11-Jun-07" 5.72274137021681
"12-Jun-07" 3.37905765447863
"13-Jun-07" 1.38942765710559
"14-Jun-07" 1.01187928834002
"15-Jun-07" 0.0639368378497776
"18-Jun-07" -0.243950475602872
"19-Jun-07" -2.93045480459295
"20-Jun-07" -3.55413152709285
"21-Jun-07" -4.72428100187106
"22-Jun-07" -6.8998407984325
"25-Jun-07" -6.7542338803445
"26-Jun-07" -6.66961899221702
"27-Jun-07" -7.78619796500197
"28-Jun-07" -7.51918667159401
"29-Jun-07" -6.91767234434397
"2-Jul-07" -6.55596220053623
"3-Jul-07" -6.6560599631939
"5-Jul-07" -8.56420767607391
"6-Jul-07" -11.2830987831769
"9-Jul-07" -13.8540401356239
"10-Jul-07" -14.4793473777807
"11-Jul-07" -14.6669919136818
"12-Jul-07" -14.071064956411
"13-Jul-07" -12.701395724217
"16-Jul-07" -11.7603420566587
"17-Jul-07" -11.1529659543023
"18-Jul-07" -11.355817201602
"19-Jul-07" -10.6607002027234
"20-Jul-07" -10.0365921797252
"23-Jul-07" -8.01906819971907
"24-Jul-07" -6.34993789541766
"25-Jul-07" -4.2839678714186
"26-Jul-07" -3.63548432434786
"27-Jul-07" -5.01590584204759
"30-Jul-07" -6.54845971138018
"31-Jul-07" -8.34843388796861
"1-Aug-07" -10.7973173262014
"2-Aug-07" -13.8508926717372
"3-Aug-07" -16.0919633630657
"6-Aug-07" -18.9957973758013
"7-Aug-07" -21.3362016895562
"8-Aug-07" -22.5789063785234
"9-Aug-07" -22.3356936248631
"10-Aug-07" -23.2373830548854
"13-Aug-07" -24.0142271556294
"14-Aug-07" -25.5126114736575
"15-Aug-07" -27.8100998664632
"16-Aug-07" -28.7744883859092
"17-Aug-07" -28.6530477651724
"20-Aug-07" -29.0201616928152
"21-Aug-07" -26.9365042855025
"22-Aug-07" -25.3756785384212
"23-Aug-07" -24.7515346556061
"24-Aug-07" -23.660837900669
"27-Aug-07" -23.0391934418677
"28-Aug-07" -22.7725484523465
"29-Aug-07" -21.01498470733
"30-Aug-07" -19.6434006300149
"31-Aug-07" -18.4025629485104
"4-Sep-07" -15.7371344142343
"5-Sep-07" -15.3359122727961
"6-Sep-07" -12.8227457903897
"7-Sep-07" -11.9776014055814
"10-Sep-07" -12.9185371121358
"11-Sep-07" -12.054157239523
"12-Sep-07" -13.6158227562695
"13-Sep-07" -13.3923065705491
"14-Sep-07" -13.0102976370794
"17-Sep-07" -12.645518018705
"18-Sep-07" -13.2802400230862
"19-Sep-07" -12.162562437478
"20-Sep-07" -10.7058465499056
"21-Sep-07" -11.4834313871819
"24-Sep-07" -12.3170406316563
"25-Sep-07" -12.1945971296254
"26-Sep-07" -12.5812631578578
"27-Sep-07" -13.4524889778384
"28-Sep-07" -14.5885347983571
"1-Oct-07" -14.5289165396325
"2-Oct-07" -13.1500402331215
"3-Oct-07" -12.1767575605182
"4-Oct-07" -10.7142851307619
"5-Oct-07" -10.2384558852722
"8-Oct-07" -8.77489058115914
"9-Oct-07" -8.08295422569503
"10-Oct-07" -6.8422437235695
"11-Oct-07" -6.65014628466288
"12-Oct-07" -6.68412348363715
"15-Oct-07" -6.21917555220553
"16-Oct-07" -5.63143859688853
"17-Oct-07" -4.58705507881837
"18-Oct-07" -4.32585380944793
"19-Oct-07" -5.63438527394825
"22-Oct-07" -6.94672219092796
"23-Oct-07" -7.54516327714935
